"trial","block","actor","mean_percent","mean_same"
1,"emotion-regulation","e1",39.5348837209302,60.4651162790698
1,"emotion-regulation","e2",44.1558441558442,44.1558441558442
1,"food","f1",22.0779220779221,77.9220779220779
1,"food","f2",31.3953488372093,31.3953488372093
1,"non-social","ns1",47.5,52.5
1,"non-social","ns2",56.6265060240964,56.6265060240964
2,"emotion-regulation","e1",26.7441860465116,73.2558139534884
2,"emotion-regulation","e2",45.4545454545455,45.4545454545455
2,"food","f1",24.6753246753247,75.3246753246753
2,"food","f2",52.3255813953488,52.3255813953488
2,"non-social","ns1",43.75,56.25
2,"non-social","ns2",48.1927710843374,48.1927710843374
3,"emotion-regulation","e1",22.093023255814,77.906976744186
3,"emotion-regulation","e2",70.1298701298701,70.1298701298701
3,"food","f1",27.2727272727273,72.7272727272727
3,"food","f2",65.1162790697674,65.1162790697674
3,"non-social","ns1",36.25,63.75
3,"non-social","ns2",59.0361445783133,59.0361445783133
4,"emotion-regulation","e1",19.7674418604651,80.2325581395349
4,"emotion-regulation","e2",62.3376623376623,62.3376623376623
4,"food","f1",28.5714285714286,71.4285714285714
4,"food","f2",67.4418604651163,67.4418604651163
4,"non-social","ns1",35,65
4,"non-social","ns2",68.6746987951807,68.6746987951807
5,"emotion-regulation","e1",25.5813953488372,74.4186046511628
5,"emotion-regulation","e2",64.9350649350649,64.9350649350649
5,"food","f1",25.974025974026,74.025974025974
5,"food","f2",77.9069767441861,77.9069767441861
5,"non-social","ns1",21.25,78.75
5,"non-social","ns2",63.855421686747,63.855421686747
6,"emotion-regulation","e1",16.2790697674419,83.7209302325581
6,"emotion-regulation","e2",72.7272727272727,72.7272727272727
6,"food","f1",24.6753246753247,75.3246753246753
6,"food","f2",75.5813953488372,75.5813953488372
6,"non-social","ns1",35,65
6,"non-social","ns2",71.0843373493976,71.0843373493976
7,"emotion-regulation","e1",20.9302325581395,79.0697674418605
7,"emotion-regulation","e2",71.4285714285714,71.4285714285714
7,"food","f1",24.6753246753247,75.3246753246753
7,"food","f2",76.7441860465116,76.7441860465116
7,"non-social","ns1",33.75,66.25
7,"non-social","ns2",71.0843373493976,71.0843373493976
8,"emotion-regulation","e1",22.093023255814,77.906976744186
8,"emotion-regulation","e2",77.9220779220779,77.9220779220779
8,"food","f1",28.5714285714286,71.4285714285714
8,"food","f2",75.5813953488372,75.5813953488372
8,"non-social","ns1",41.25,58.75
8,"non-social","ns2",69.8795180722892,69.8795180722892
